COFs,b'pore_diameter_\xc3\x85',b'void_fraction',b'surface_area_m\xc2\xb2g\xe2\x81\xbb\xc2\xb9',b'crystal_density',b'B',b'O',b'C',b'H',b'Si',b'N',b'S',b'P',b'halogens',b'metals',gcmc_y,henry_y
b'11010N2_ddec.cif',11.44013,0.51004,2471.09,935.5220420910194,0.04819277108433735,0.0963855421686747,0.5301204819277109,0.14457831325301204,0.0,0.14457831325301204,0.024096385542168676,0.0,0.0,0.012048192771084338,3.8312762487603047,3.8146213334129406
b'11020N2_ddec.cif',12.79729,0.57796,4538.17,618.7741305717103,0.0,0.0,0.5454545454545454,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,3.6471369619046485,3.5770282647223843
b'11030N2_ddec.cif',15.41679,0.62636,4723.27,552.1291332496619,0.0,0.0,0.5660377358490566,0.3584905660377358,0.0,0.07547169811320754,0.0,0.0,0.0,0.0,3.512241909820226,3.54304711587897
b'11031N2_ddec.cif',26.63908,0.80306,5467.24,299.75730659784097,0.031746031746031744,0.06349206349206349,0.5714285714285714,0.30158730158730157,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,5.022021609210795,7.8116406482917355
b'11040N2_ddec.cif',32.93058,0.77964,3875.68,344.50336577434973,0.043478260869565216,0.08695652173913043,0.6086956521739131,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,2.7305541237800792,2.7493489582898207
b'12000N2_ddec.cif',13.44419,0.54566,3483.72,741.1023105794659,0.0,0.08333333333333333,0.5,0.3333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,3.6289924600110948,3.5936626770518676
b'12001N2_ddec.cif',10.58897,0.4587,3399.81,848.4612290294345,0.0,0.06666666666666667,0.4666666666666667,0.4,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,4.624223329346142,4.452408534693906
b'12010N2_ddec.cif',19.07485,0.61696,3868.88,598.505263263236,0.0392156862745098,0.0784313725490196,0.5490196078431373,0.29411764705882354,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,3.3915658343356965,3.3738927625898536
b'12011N2_ddec.cif',19.15145,0.6175,3600.7,639.6714196712348,0.039603960396039604,0.07920792079207921,0.5544554455445545,0.27722772277227725,0.0,0.039603960396039604,0.0,0.0,0.0,0.009900990099009901,3.3796187412726097,3.3685480091712843
b'12012N2_ddec.cif',19.12853,0.6157,3571.15,641.1875824848518,0.039603960396039604,0.07920792079207921,0.5544554455445545,0.27722772277227725,0.0,0.039603960396039604,0.0,0.0,0.0,0.009900990099009901,3.415748162357534,3.404094012430193
b'12020N2_ddec.cif',15.82596,0.57892,2736.96,747.6625846801393,0.03669724770642202,0.07339449541284404,0.5871559633027523,0.22018348623853212,0.0,0.07339449541284404,0.0,0.0,0.0,0.009174311926605505,3.5779583041972387,3.5769376868505414
b'12022N2_ddec.cif',24.06552,0.69426,3456.83,521.6055352846575,0.03669724770642202,0.07339449541284404,0.5871559633027523,0.22018348623853212,0.0,0.07339449541284404,0.0,0.0,0.0,0.009174311926605505,2.8717389164600564,2.8615110090232996
b'12023N2_ddec.cif',24.58257,0.6757,2923.91,576.8120965066661,0.026845637583892617,0.10738255033557047,0.5637583892617449,0.21476510067114093,0.0,0.08053691275167785,0.0,0.0,0.0,0.006711409395973154,2.7872744215288523,2.7795039211655572
b'12024N2_ddec.cif',28.05485,0.7216,3657.5,463.048859547114,0.031007751937984496,0.06201550387596899,0.5891472868217055,0.24806201550387597,0.0,0.06201550387596899,0.0,0.0,0.0,0.007751937984496124,2.7389170997427503,2.7510295673702148
b'12030N2_ddec.cif',16.84676,0.60248,2681.17,721.9460453983645,0.06060606060606061,0.12121212121212122,0.5454545454545454,0.18181818181818182,0.0,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,4.173430254080946,4.225126750929395
b'12040N2_ddec.cif',19.14047,0.59904,3082.96,643.5066899099926,0.05263157894736842,0.10526315789473684,0.5263157894736842,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,3.364031193153282,3.3003339179582953
b'12050N2_ddec.cif',9.46302,0.42052,4040.89,832.5241229221701,0.0625,0.0,0.5,0.375,0.0,0.0625,0.0,0.0,0.0,0.0,6.231560962484038,5.794893007842867
b'12060N2_ddec.cif',14.61678,0.55472,2696.41,818.4877175819538,0.04938271604938271,0.09876543209876543,0.5432098765432098,0.19753086419753085,0.0,0.09876543209876543,0.0,0.0,0.0,0.012345679012345678,3.302363620087544,3.278491141826969
b'12061N2_ddec.cif',14.54875,0.55392,2702.02,819.3055699818249,0.04938271604938271,0.09876543209876543,0.5432098765432098,0.19753086419753085,0.0,0.09876543209876543,0.0,0.0,0.0,0.012345679012345678,3.303522034471584,3.291660799663491
b'12062N2_ddec.cif',14.29827,0.548,2559.1,839.4647119423718,0.04938271604938271,0.09876543209876543,0.5432098765432098,0.19753086419753085,0.0,0.09876543209876543,0.0,0.0,0.0,0.012345679012345678,3.465774886992771,3.450778422235441
b'13000N2_ddec.cif',6.37954,0.25916,1996.63,1580.577158511439,0.0,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,6.90575169509638,6.9040236041623775
b'13010N2_ddec.cif',26.46291,0.6447,3001.47,579.1209736927893,0.03571428571428571,0.07142857142857142,0.6071428571428571,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,2.744696160871744,2.729807817470562
b'13011N2_ddec.cif',31.02732,0.69022,3018.01,506.3740376395071,0.02857142857142857,0.05714285714285714,0.6285714285714286,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,2.8652783734085765,2.8720184039159413
b'13012N2_ddec.cif',32.66085,0.71026,2979.41,470.364621264556,0.030303030303030304,0.06060606060606061,0.6060606060606061,0.30303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,2.8134387983105387,2.805948915898106
b'13020N2_ddec.cif',27.27431,0.82292,5398.86,273.997541325938,0.057692307692307696,0.11538461538461539,0.5576923076923077,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,2.7034216414762398,2.696443521650684
b'13040N3_ddec.cif',6.16039,0.30938,4027.87,1012.5831349657851,0.0,0.0,0.5698924731182796,0.3870967741935484,0.0,0.043010752688172046,0.0,0.0,0.0,0.0,11.728470043556287,12.195136352105475
b'13050N2_ddec.cif',18.42693,0.61378,3223.01,644.5764817150317,0.0,0.1111111111111111,0.5555555555555556,0.2777777777777778,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,3.671545610939381,3.694502683250691
b'13060N2_ddec.cif',11.54845,0.54778,4545.68,669.1791482778345,0.0,0.0,0.5945945945945946,0.35135135135135137,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,4.616274952522202,4.597231982866456
b'13070N2_ddec.cif',17.38774,0.59178,3268.76,705.9054525502447,0.0,0.15789473684210525,0.47368421052631576,0.2631578947368421,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,3.2244193894749382,3.246156950945636
b'13071N2_ddec.cif',17.57051,0.60606,3660.28,605.2015013137313,0.0,0.05,0.5,0.4,0.0,0.05,0.0,0.0,0.0,0.0,3.4047039841958915,3.377910104003784
b'13072N2_ddec.cif',19.94726,0.6265,3511.27,598.1818247123351,0.0,0.05263157894736842,0.47368421052631576,0.3684210526315789,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,3.2155506445935234,3.186970433455576
b'13073N2_ddec.cif',17.33898,0.58366,3196.17,711.6166037006766,0.0,0.15789473684210525,0.47368421052631576,0.2631578947368421,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,3.243270274808248,3.240546314533328
b'13074N2_ddec.cif',16.23125,0.57388,3728.5,671.6578467540328,0.0,0.09523809523809523,0.47619047619047616,0.38095238095238093,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,3.9063686545461027,3.9558226298596164
b'13075N2_ddec.cif',12.84025,0.5282,3104.34,843.3049954597537,0.0,0.08333333333333333,0.5,0.25,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,3.3304941088771765,3.293984114584638
b'13076N2_ddec.cif',12.45606,0.4968,2750.3,973.678975263511,0.0,0.08333333333333333,0.5,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,3.0983821060500767,3.0535702519499743
b'13077N2_ddec.cif',11.27834,0.4922,3176.81,878.2304851647255,0.0,0.15384615384615385,0.46153846153846156,0.2692307692307692,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,3.8724205060110855,3.8246421070881778
b'13078N2_ddec.cif',10.54691,0.48382,3542.64,923.7637987821721,0.0,0.17857142857142858,0.42857142857142855,0.2857142857142857,0.0,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,4.302299066728577,4.241438466267343
b'13080N2_ddec.cif',15.17518,0.53844,2632.28,797.1442649846446,0.0,0.0,0.6666666666666666,0.23809523809523808,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,5.510257790086489,5.551860056508553
b'13090N2_ddec.cif',22.02192,0.67734,2938.84,577.5082836650929,0.0625,0.125,0.5625,0.1875,0.0,0.0,0.0625,0.0,0.0,0.0,3.1228509692118234,3.1292048479061894
b'13100N2_ddec.cif',19.07895,0.67096,5050.32,482.25693871428894,0.0,0.0,0.5957446808510638,0.3617021276595745,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,3.3082158221774347,3.3125994304554642
b'13110N2_ddec.cif',11.58627,0.55632,4513.09,740.9371934974962,0.0,0.043010752688172046,0.5591397849462365,0.3010752688172043,0.0,0.08602150537634409,0.0,0.0,0.0,0.010752688172043012,3.715292189750088,3.7516039067182674
b'13120N2_ddec.cif',13.52573,0.5519,4930.12,661.1749881244302,0.0,0.0,0.582089552238806,0.3582089552238806,0.0,0.05970149253731343,0.0,0.0,0.0,0.0,3.681073216186021,3.637341155087442
b'13121N2_ddec.cif',19.5919,0.63944,4518.51,526.655991056353,0.0,0.0,0.5876288659793815,0.3711340206185567,0.0,0.041237113402061855,0.0,0.0,0.0,0.0,3.4440783719819037,3.4512381255928206
b'13122N2_ddec.cif',27.50463,0.71322,4979.56,402.5852174035301,0.0,0.0,0.6,0.3923076923076923,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,2.992098625079097,3.006990257067493
b'13123N2_ddec.cif',17.75202,0.6117,3845.77,616.948939552543,0.0,0.0,0.57,0.3,0.0,0.1,0.03,0.0,0.0,0.0,3.8926912507696216,3.9267567526293505
b'13130N2_ddec.cif',39.76837,0.7759,3300.64,377.99636685559636,0.030303030303030304,0.12121212121212122,0.5757575757575758,0.24242424242424243,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,2.614881742474168,2.6101034865950945
b'13140N2_ddec.cif',6.47206,0.34894,2995.8,1132.1644036223831,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,6.71754508300835,6.903680638373734
b'13141N2_ddec.cif',12.68633,0.5252,3279.77,818.4326091043419,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,3.4705175603119827,3.431580452711957
b'13142N2_ddec.cif',9.61708,0.44638,2804.49,1011.7880809125259,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,4.268672491379296,4.159682969326826
b'13150N2_ddec.cif',19.52597,0.64826,3772.94,553.3779516270189,0.0,0.058823529411764705,0.5294117647058824,0.35294117647058826,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,3.1734121673038085,3.153598882777425
b'13160N2_ddec.cif',19.47383,0.68376,4952.14,498.72814370770686,0.0,0.0,0.5714285714285714,0.34285714285714286,0.0,0.0761904761904762,0.0,0.0,0.0,0.009523809523809525,2.9901688504199972,2.9703829007666136
b'13161N2_ddec.cif',18.82862,0.74926,5057.44,421.1309171966766,0.0,0.0,0.5714285714285714,0.26666666666666666,0.0,0.0761904761904762,0.0,0.0,0.0761904761904762,0.009523809523809525,4.250344536810494,5.00605557175293
b'13170N2_ddec.cif',22.12427,0.63308,3238.68,596.8683495261597,0.022988505747126436,0.04597701149425287,0.5517241379310345,0.28735632183908044,0.0,0.09195402298850575,0.0,0.0,0.0,0.0,3.5771843315804928,3.5883695445186983
b'13180N3_ddec.cif',5.26001,0.35514,4161.09,1036.8033613594962,0.0,0.08163265306122448,0.5102040816326531,0.32653061224489793,0.0,0.08163265306122448,0.0,0.0,0.0,0.0,9.907088631871122,11.931853577511175
b'13181N3_ddec.cif',5.7244,0.3954,4851.75,938.0614687729349,0.0,0.08163265306122448,0.4897959183673469,0.32653061224489793,0.02040816326530612,0.08163265306122448,0.0,0.0,0.0,0.0,9.279758219433191,9.149907633968926
b'13182N3_ddec.cif',5.82992,0.3228,3776.02,1057.8164077833987,0.0,0.05714285714285714,0.4857142857142857,0.4,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,10.905088965674121,11.643215852651883
b'13190N2_ddec.cif',11.69991,0.40046,4100.32,884.3962795826319,0.0,0.041666666666666664,0.5,0.4166666666666667,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,3.4609587876637797,3.432557989849942
b'13191N2_ddec.cif',20.8581,0.60106,4257.19,576.395489494332,0.0,0.034482758620689655,0.5172413793103449,0.41379310344827586,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,3.0090593154964753,2.9905279777952427
b'14000N2_ddec.cif',8.39122,0.4733,4304.74,794.461178236718,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,4.8875282437793794,4.708848064234706
b'14010N2_ddec.cif',14.00374,0.54652,4527.03,703.9437377892472,0.0,0.0,0.5967741935483871,0.3387096774193548,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,3.904271005373541,3.8805251683537945
b'14020N2_ddec.cif',25.72078,0.66982,5610.15,470.2876743927517,0.0,0.0,0.5675675675675675,0.3783783783783784,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,3.575926566114428,3.530789399705419
b'14030N2_ddec.cif',34.64499,0.74042,3384.18,413.7884874967164,0.02564102564102564,0.05128205128205128,0.5641025641025641,0.3076923076923077,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,3.268255634355724,3.2665785318145235
b'14040N2_ddec.cif',27.51614,0.71134,4144.73,434.09161437678324,0.0,0.06451612903225806,0.4838709677419355,0.3870967741935484,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,2.8810382300054735,2.887060149692854
b'14050N3_ddec.cif',12.26567,0.71906,5999.62,393.4810180560052,0.0,0.0,0.5652173913043478,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,3.561167963046627,3.5539358505344927
b'14051N3_ddec.cif',12.97507,0.69958,4848.31,489.078366468525,0.0,0.08,0.44,0.4,0.0,0.08,0.0,0.0,0.0,0.0,4.259580328678127,4.3580843381453676
b'14060N2_ddec.cif',17.55621,0.63422,4460.66,566.7931640959288,0.0,0.0,0.5609756097560976,0.34146341463414637,0.0,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,3.6624503629207106,3.7081971244353373
b'14070N2_ddec.cif',23.45999,0.68758,4829.47,466.21199467964897,0.0,0.0,0.5818181818181818,0.34545454545454546,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,3.437980045212817,3.467049078579628
b'14071N2_ddec.cif',21.06284,0.66046,4036.68,513.816302129314,0.0,0.0,0.5818181818181818,0.34545454545454546,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,3.641601442425575,3.6976083767885597
b'14072N2_ddec.cif',19.54346,0.71284,5321.76,429.6919060348103,0.0,0.04081632653061224,0.5714285714285714,0.3469387755102041,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,2.939600467174519,2.931333578106604
b'14073N2_ddec.cif',18.78344,0.67426,4875.28,493.0455874070645,0.0,0.04081632653061224,0.5714285714285714,0.3469387755102041,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,3.149529668199968,3.1302441712867712
b'14080N2_ddec.cif',33.53272,0.76322,4926.6,363.6748296489566,0.045454545454545456,0.09090909090909091,0.5454545454545454,0.2727272727272727,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,2.417153626527037,2.4271728348099186
b'14090N2_ddec.cif',22.42674,0.68926,3895.6,490.2217098962578,0.0,0.05555555555555555,0.5,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,2.8463256675180757,2.8482828937627955
b'14091N2_ddec.cif',22.64298,0.6909,3746.68,480.04770025877053,0.0,0.05454545454545454,0.5454545454545454,0.34545454545454546,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,3.0704776322339487,3.0556661000127874
b'15000N2_ddec.cif',3.5094,0.16356,3193.3,1610.7018276727147,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.09397229080004961,0.07902535518803018
b'15010N2_ddec.cif',19.95355,0.65116,4533.38,514.8015680679351,0.0,0.0,0.6101694915254238,0.3559322033898305,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,4.027788105837362,4.101619280081281
b'15020N2_ddec.cif',24.40121,0.72444,4763.03,425.59933277591455,0.0,0.03278688524590164,0.5245901639344263,0.3442622950819672,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,2.885519397256285,2.8680571410402567
b'15021N2_ddec.cif',21.57123,0.6816,5009.35,492.02092323812593,0.0,0.07017543859649122,0.5263157894736842,0.2982456140350877,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,3.032560476732875,3.0670426287314805
b'15030N2_ddec.cif',16.9014,0.62298,4107.48,555.4451368903248,0.03571428571428571,0.03571428571428571,0.5357142857142857,0.35714285714285715,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,3.233189000679388,3.223977788084862
b'15031N2_ddec.cif',23.46204,0.69836,3893.91,463.3848340991926,0.02702702702702703,0.05405405405405406,0.5675675675675675,0.32432432432432434,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,3.013125551899793,3.0211457401811064
b'15040N2_ddec.cif',11.20659,0.51668,4313.39,707.7326477289627,0.0,0.0,0.5789473684210527,0.3684210526315789,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,4.22435110927318,4.144958966781652
b'15050N2_ddec.cif',7.95629,0.40506,3176.95,1044.1562707391874,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,5.630441328398118,5.458925176680385
b'15060N2_ddec.cif',12.51933,0.54792,4301.08,668.2319708938052,0.0,0.0,0.5357142857142857,0.35714285714285715,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,4.333935334596865,4.295230326718354
b'15061N2_ddec.cif',15.21097,0.61344,4677.24,558.732947316586,0.0,0.0,0.5666666666666667,0.3333333333333333,0.0,0.1,0.0,0.0,0.0,0.0,3.7810924072061045,3.7404631799452455
b'15070N2_ddec.cif',25.54078,0.71008,4121.88,439.0567918288186,0.0,0.045454545454545456,0.5454545454545454,0.36363636363636365,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,3.054276411828436,3.0640784768977873
b'15071N2_ddec.cif',25.2114,0.70416,3850.4,452.9904710355154,0.0,0.045454545454545456,0.5454545454545454,0.36363636363636365,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,3.3257415524636675,3.3419538155301014
b'15072N2_ddec.cif',16.31818,0.5998,4209.14,612.7678428397282,0.0,0.03571428571428571,0.5357142857142857,0.35714285714285715,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,3.9821821023379393,3.9998457264977536
b'15080N2_ddec.cif',10.5938,0.5574,5037.13,643.0740961342219,0.03076923076923077,0.09230769230769231,0.49230769230769234,0.35384615384615387,0.0,0.03076923076923077,0.0,0.0,0.0,0.0,4.270683664858777,4.301719101506107
b'15081N2_ddec.cif',17.20752,0.62186,4443.25,586.6112640636815,0.0,0.03636363636363636,0.5454545454545454,0.34545454545454546,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,3.546768497990229,3.555266046183723
b'15090N2_ddec.cif',17.3466,0.6415,4963.5,544.3468831363607,0.0,0.03636363636363636,0.5454545454545454,0.34545454545454546,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,3.329501661442701,3.3196437953410065
b'15091N2_ddec.cif',12.82588,0.55596,4365.47,660.0420193843727,0.0,0.03225806451612903,0.5161290322580645,0.3870967741935484,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,4.069664309186932,4.1053598553947985
b'15100N2_ddec.cif',31.49759,0.74164,3792.37,414.86204407711676,0.0,0.08,0.56,0.28,0.0,0.08,0.0,0.0,0.0,0.0,2.6651493940383606,2.675116263481556
b'15101N2_ddec.cif',19.15734,0.60636,3106.33,714.3084688698003,0.0,0.1875,0.5,0.1875,0.0,0.125,0.0,0.0,0.0,0.0,2.7351954493434625,2.739396558588691
b'15110N2_ddec.cif',24.01167,0.69314,3531.81,489.61644045276637,0.05555555555555555,0.1111111111111111,0.6111111111111112,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,2.6285980114165985,2.62582516935682
b'15111N2_ddec.cif',30.32973,0.6872,3521.81,493.9068310371986,0.03333333333333333,0.06666666666666667,0.6333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,5.570984083819846,6.289972283425124
b'15131N2_ddec.cif',28.78633,0.73104,3948.47,418.8524023323536,0.05,0.1,0.65,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.579144849978595,2.5518736225399725
b'15140N2_ddec.cif',29.52778,0.74564,4455.82,376.73271683229603,0.0,0.0,0.5454545454545454,0.4090909090909091,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,3.2722109617786796,3.2779481622604716
b'15150N2_ddec.cif',14.08286,0.63156,5287.22,544.6362068331179,0.0,0.03333333333333333,0.5666666666666667,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,3.5105698604044835,3.4913509806421485
