smiles,HF,LF
c1cnoc1,6.53,5.03
COC(=O)C(Cl)(Cl)Cl,12.87,9.31
COC(=O)C(F)(F)F,7.19,5.06
FCC(F)(F)C(F)F,6.4,4.5
O=C1OCCO1,6.6,5.1
c1c[nH]cn1,7.19,5.59
C#CC,5.65,4.14
c1cn[nH]c1,7.23,5.63
OCC(F)(F)C(F)F,7.08,4.97
FC(F)(F)CCCl,8.23,5.96
C#CCO,6.08,4.56
ClCC(Cl)CCl,12.04,8.95
C=C(C)Br,9.11,7.06
C=CCBr,9.46,7.2
C=CCCl,8.1,6.29
N#CCCO,6.92,5.41
CCC#N,6.26,5.04
C/C=C\Cl,7.93,6.23
ClC[C@@H]1CO1,8.19,6.26
C#CCN,7.29,5.14
COC(=O)CCl,8.86,6.55
CC=CBr,9.09,7.11
C/C=C/I,11.37,8.69
CC(Br)CBr,12.61,9.65
CC(Cl)CCl,10.2,7.78
ClCCCCl,10.11,7.71
C1COCO1,6.79,5.2
CC(C)=O,6.39,5.05
CCOC=O,7.03,5.4
COC(C)=O,6.96,5.33
C[C@@H]1CO1,6.25,4.98
C1COC1,6.1,4.91
CCC=O,6.41,5.05
CCC(=O)O,6.95,5.33
C=CC,6.13,4.91
C1CSCS1,11.4,9.08
CC(C)(Cl)Cl,10.08,7.85
C=CCO,6.75,5.32
C1CSC1,8.62,6.85
C1CC1,5.56,4.61
CC(=O)CO,7.05,5.35
COC(=O)CO,7.67,5.71
OC(CCl)CCl,10.72,8.07
OCC(Cl)CCl,10.83,8.03
CC1CO1,6.22,4.98
CCCBr,9.45,7.27
CCCCl,8.28,6.42
CCCI,11.45,8.87
CC(C)Br,9.66,7.32
CC(C)Cl,8.33,6.47
CC(C)I,11.62,8.95
CC(C)[N+](=O)[O-],8.55,6.67
CC(N)C(=O)O,8.28,6.25
C=CCN,7.57,5.95
NC1CC1,7.05,5.6
CC(C)O[N+](=O)[O-],9.61,7.3
CN=C(C)O,7.85,5.93
N[C@@H](CO)C(=O)O,9.07,6.6
CCC[N+](=O)[O-],8.59,6.73
OCC(O)CCl,9.42,7.12
CC(O)CCl,8.87,6.73
OCC(O)CO,8.14,6.11
OCCCO,7.55,5.84
CCCO,6.94,5.53
COCCO,7.62,5.93
CCCS,9.43,7.43
CC(O)CO,7.57,5.83
CCSC,9.46,7.49
C[C@@H](O)CN,8.3,6.44
CCNC,7.75,6.16
CCCN,7.69,6.12
CC(C)N,7.76,6.15
NCCCO,8.33,6.47
NCCCN,9.04,7.05
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,19.76,15.01
FC1(F)C(F)(F)C(F)(F)C1(F)F,7.26,5.34
C=C1CC(=O)O1,8.33,6.41
c1ccoc1,7.31,5.65
c1cncnc1,8.59,6.89
c1ccsc1,9.67,7.55
C=C(C)C#N,8.09,6.65
CCOC(=O)C(Cl)(Cl)Cl,14.82,10.9
C=CCC#N,7.86,6.5
C=CC=C,8.1,6.96
Cn1ccnc1,9.24,7.29
C1=COCC1,7.66,6.14
C1=CCOC1,7.7,6.24
C=C(C)C=O,8.27,6.49
CC(=O)OC(C)=O,8.87,6.87
C=C(C)C(=O)O,8.71,6.86
C=CC(=O)OC,8.73,6.85
C/C=C/C=O,8.54,6.84
C/C=C\C(=O)O,8.9,6.88
C=COC(C)=O,8.8,6.95
CC(=O)C(C)=O,8.3,6.51
O=C1CCCO1,7.93,6.31
CC#CC,7.4,5.94
C=CC(Cl)CCl,11.88,9.29
ClC/C=C/CCl,12.06,9.47
[C-]#[N+]C(C)C,8.46,6.86
CC(C)C#N,8.11,6.64
NC(CC(=O)O)C(=O)O,11.81,8.07
CCCC#N,8.11,6.67
O=C(O)CCCCl,10.69,8.18
COCCC#N,8.79,7.03
OC1=NCCC1,8.73,6.95
CN1CCOC1=O,9.29,7.27
CCOC(=O)CCl,10.77,8.2
CC/C=C/Cl,9.84,7.97
CC/C=C\Cl,9.84,7.86
CCC1CO1,8.09,6.57
ClCCCCCl,11.98,9.38
C1COCCO1,8.6,6.75
C=CCC,8.36,6.63
CCC(C)=O,8.21,6.59
CC(C)C(=O)O,8.79,6.9
N=C(O)C[C@H](N)C(=O)O,11.82,8.55
CCCC=O,8.24,6.6
CCCC(=O)O,8.81,6.93
CCOC(C)=O,8.85,6.98
C=COCC,8.65,7.16
CC(C)C=O,8.25,6.63
CCCOC=O,8.89,7.01
O=S1(=O)CCCC1,10.7,8.69
C1CCOC1,7.96,6.45
OC/C=C\CO,9.14,7.4
CCC(=O)OC,8.78,6.91
C1CCSC1,10.44,8.42
O=S1CCCC1,10.77,8.73
COC1OCCO1,9.36,7.11
CC1(C)CO1,8.02,6.57
O=CCCCO,8.49,7.06
COC(=O)C(C)O,9.48,7.23
CC1OCCO1,8.63,6.87
CCCCBr,11.22,8.92
CC(C)CCl,10.08,8.01
CCCCCl,10.11,8.06
CC(C)CI,13.3,10.49
CCCCI,13.29,10.55
CC(C)(C)Br,11.45,9.03
CC(C)(C)Cl,10.23,8.14
CC[C@@H](C)Cl,10.11,8.05
CCC(C)I,13.44,10.64
C1COCCN1,9.35,7.45
C1CCNC1,8.65,7.07
C[C@@H](O)[C@H](N)C(=O)O,10.92,8.11
CCN=C(C)O,9.73,7.59
CC(C)CBr,11.22,8.87
CCCC(=N)O,9.64,7.5
CC(C)(C)[N+](=O)[O-],10.3,8.2
CC(=O)N(C)C,9.63,7.55
CC(C)(C)I,13.71,10.76
CCCC[N+](=O)[O-],10.41,8.34
COCCOC,9.59,7.56
OCCCCO,9.36,7.48
CC(C)CO,8.81,7.08
CC(C)(C)S,11.39,9.16
CCCC,8.12,6.79
OCCOCCO,10.07,7.9
CCSCC,11.33,9.24
CC(C)C,8.14,6.79
COC(C)C,9.03,7.13
CCOCCO,9.47,7.55
CCCOC,8.84,7.17
OCCSCCO,12.5,9.97
SCCCCS,14.91,11.43
CCOP(=O)(Cl)OCC,14.27,11.14
CCOS(=O)(=O)OCC,13.0,9.98
CC[C@H](C)S,11.28,9.06
CCSSCC,14.54,12.03
CCOS(=O)OCC,12.67,10.21
CC(O)C(C)O,9.3,7.44
C[C@H](O)[C@@H](C)O,9.38,7.48
CCC(O)CO,9.35,7.45
CCOCC,8.92,7.23
CC(C)(C)O,8.82,7.12
CC(C)(C)OO,9.71,7.75
COC(C)OC,9.46,7.45
CC(C)CS,11.26,9.02
CSC(C)C,11.34,9.18
CC(CO)CO,9.41,7.44
CCCCOS(=O)(=O)O,12.58,10.01
CCNCC,9.61,7.82
CC(C)CN,9.52,7.67
CC[C@H](C)N,9.56,7.71
CC(C)(C)N,9.67,7.73
CCC(N)CO,10.09,8.04
CCOP(=O)(O)OCC,13.02,10.11
CN(C)CCO,10.3,8.05
NCCNCCN,12.19,9.68
Fc1nc(F)c(F)c(F)c1F,10.18,7.42
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,20.56,15.89
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11.05,7.19
Fc1cccc(F)n1,9.43,7.49
O=Cc1ccco1,10.09,7.75
Fc1ccccn1,10.61,7.58
Brc1ccccn1,12.78,10.13
Brc1cccnc1,12.76,10.05
Clc1ccccn1,11.6,9.22
c1ccncc1,9.55,7.69
C1=CCC=C1,8.67,7.08
C#CC(=C)C,9.39,7.56
Cc1ccco1,9.28,7.4
Cc1cccs1,11.62,9.32
Cc1ccsc1,11.59,9.31
OCc1ccco1,9.84,7.76
SCc1ccco1,12.41,9.83
C#CC(=O)OCC,10.08,7.83
Cn1cccc1,10.25,8.07
C#CCCC,9.14,7.48
C=CC(=C)C,10.08,8.43
O=C1CCCC1,9.21,7.58
C1=CCCC1,8.9,7.48
C=CC(=O)OCC,10.58,8.48
C=C(C)C(=O)OC,10.53,8.44
C=C/C=C/C,10.33,8.87
C=C/C=C\C,10.23,8.78
Cc1ccnn1C,10.72,9.02
C=CCC=C,9.69,8.03
N#CN1CCCC1,11.09,8.78
CC(=O)CC(C)=O,10.98,8.05
CC(=O)C1CC1,9.51,7.72
C=C=C(C)C,9.97,8.5
CC=C=CC,10.01,8.6
C=C=CCC,9.89,8.48
CC#CCC,9.3,7.65
C#CC(C)C,9.24,7.48
C=CCOC(C)=O,10.4,8.47
O=CCCCC=O,10.23,8.24
C=CC(=O)OCCO,12.18,8.89
COC(=O)CC(C)=O,10.8,8.39
C=C(C)C(C)=O,10.0,8.1
C=COC(=O)CC,10.68,8.53
CC(C)(C)C#N,9.95,8.22
NC(CCC(=O)O)C(=O)O,13.4,9.61
CCCCC#N,9.95,8.3
O=C(O)[C@@H]1CCCN1,10.89,8.79
CC(=O)N(C)C(C)=O,11.51,8.99
CN1CCCC1=O,10.66,8.59
[C-]#[N+]C(C)(C)C,10.22,8.45
O=CN1CCOCC1,11.41,8.92
CCC/C=C/F,10.62,8.09
CCC/C=C\F,10.62,8.07
C=CCCC,9.85,8.11
CC(C)(C)C=O,10.01,8.19
CCCC(C)=O,10.03,8.2
CC(C)CC(=O)O,10.65,8.49
CCC(=O)CC,10.0,8.15
CCCCOC=O,10.76,8.63
CCOC(=O)[C@H](C)O,11.34,8.92
CCOC(=O)CC,10.65,8.57
N=C(O)CC[C@H](N)C(=O)O,13.52,10.17
CC(C)COC=O,10.81,8.7
CC(C)(C)OC=O,10.73,8.5
CCCCC(=O)O,10.66,8.54
CCCOC(C)=O,10.7,8.6
OC[C@@H]1CCCO1,10.37,8.36
C1CCOCC1,9.85,8.06
CCCC(=O)OC,10.62,8.53
C/C=C\CC,9.9,8.32
C/C=C/CC,9.93,8.4
OC1CCCC1,9.72,8.05
CC(=O)C(C)C,9.96,8.15
CCN(C#N)CC,11.71,9.27
CN1CCN(C)C1=O,12.14,9.57
C1CCSCC1,12.23,10.09
CCOC(=O)OCC,11.25,9.0
C[C@@H]1C[C@@H]1C,9.35,7.82
CC1CC1C,9.42,7.88
CCC1CC1,9.39,7.82
CC1CCC1,9.38,7.8
C=C(C)CC,9.86,8.19
CC=C(C)C,9.94,8.33
CC(=O)OC(C)C,10.67,8.58
COC(=O)C(C)C,10.71,8.49
CC1CCS(=O)(=O)C1,12.63,10.33
CCC(C)C=O,10.09,8.23
CC(C)CC=O,10.14,8.25
CC1CCCS1,12.35,10.13
CCCCC=O,10.09,8.32
CCCCCBr,13.07,10.58
CC(C)CCCl,12.01,9.53
CCCCCCl,11.88,9.7
CN1CCCC1,10.81,8.74
C1CCNCC1,10.63,8.7
CC(C)[C@H](N)C(=O)O,12.08,9.38
CCC(C)CF,9.9,8.13
CC(C)CCBr,13.14,10.52
CC[C@@H](C)CBr,13.07,10.46
CC(C)(C)CBr,13.09,10.44
CC(C)C(C)Br,13.07,10.54
CCCC(C)Br,13.12,10.46
CCC(C)(C)F,9.88,8.11
CCCCCF,9.97,8.2
CCN(C=O)CC,11.56,9.19
CCC(=O)N(C)C,11.46,9.14
CC(C)(C)N=CO,11.46,9.23
OCCCCCO,11.19,9.01
CCCCCO,10.61,8.7
CCC(C)CO,10.61,8.67
CCC(C)(C)O,10.58,8.65
CCC(O)CC,10.53,8.7
COCCOCCO,11.95,9.57
CCC(C)C,10.01,8.3
CCCCC,10.02,8.4
CCCOCC,10.81,8.85
CC(C)(C)C,10.2,8.36
CCCCOC,10.72,8.8
COC(C)(OC)OC,11.91,9.25
COC(C)(C)C,10.64,8.66
CC(C)CCS,13.12,10.66
CC(C)CCO,10.62,8.69
CCOCOCC,11.4,9.08
COCC(C)OC,11.33,9.1
CCCOCCO,11.33,9.18
COCC(C)C,11.3,8.75
CCCCSC,13.13,10.84
CCC(C)OC,10.72,8.69
CC(C)C(C)O,10.58,8.65
CCCC(C)S,13.11,10.7
CCCNCC,11.41,9.29
CCOP(C)(=O)OCC,14.36,11.44
CCN(C)CC,11.57,9.37
CN(CCO)CCO,12.72,10.02
CCCCCN,11.38,9.35
NCCCCCN,12.51,10.29
Fc1c(F)c(F)c(F)c(F)c1F,10.54,8.07
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.76,8.59
Fc1cc(F)c(F)c(F)c1F,9.63,8.09
Fc1ccc(F)c(F)c1F,9.69,8.13
Fc1cc(F)c(F)c(F)c1,10.43,8.11
Fc1cc(F)c(F)cc1F,10.28,8.12
Clc1ccc(Cl)c(Cl)c1,16.27,13.05
Fc1cc(F)cc(F)c1,9.74,8.15
Brc1ccccc1Br,16.43,13.07
Clc1ccccc1Cl,14.25,11.37
Fc1ccccc1F,9.8,8.24
Clc1cccc(Cl)c1,14.32,11.49
Fc1cccc(F)c1,10.33,8.22
Brc1cccc(Br)c1,16.61,13.3
N#Cc1ccccn1,11.7,9.78
Clc1ccc(Cl)cc1,14.2,11.53
Fc1ccc(F)cc1,9.8,8.23
ClP1Oc2ccccc2O1,15.52,12.95
Oc1cccc(Cl)c1,13.6,10.42
Brc1ccccc1,13.49,10.79
Clc1ccccc1,12.42,9.92
Fc1ccccc1,10.29,8.31
Ic1ccccc1,15.54,12.46
Nc1c(Cl)cccc1Cl,15.98,12.64
Sc1ccc(Cl)cc1,15.29,12.66
ClP(Cl)c1ccccc1,17.97,14.77
Cl[Si](Cl)(Cl)c1ccccc1,19.49,15.53
Nc1ccccc1Cl,14.08,11.09
c1ccccc1,10.4,8.42
Sc1ccccc1,13.68,10.95
Oc1ccccc1,11.0,8.9
C#CCCC#C,10.21,8.24
Cc1ccccn1,11.52,9.48
Cc1ccncc1,11.49,9.4
Nc1ccccc1,12.15,9.62
Cc1cccnc1,11.49,9.45
COC(=O)/C=C\C(=O)OC,13.12,10.31
C1=CCC=CC1,10.47,8.73
C1=CCCC=C1,10.69,8.84
CC1=CC=CC1,10.75,8.82
C=CCOC(=O)C=C,12.25,10.08
Cc1ccc(C)s1,13.58,11.1
Cc1ccsc1C,13.53,11.0
Cc1cscc1C,13.45,10.98
CCc1cccs1,13.52,11.01
C#CCCCC,10.98,9.12
C#CC(C)(C)C,11.14,9.11
O=C1CCCCC1,11.09,9.17
C1=CCCCC1,10.72,9.07
CCOC(=O)C(=O)OCC,13.31,10.57
CC(=O)C=C(C)C,12.07,10.01
CCOC(=O)CC(C)=O,12.75,10.07
N#CN1CCCCC1,12.83,10.36
CC(=O)OCCOC(C)=O,13.2,10.19
C=CCCC=C,11.5,9.74
C=CC=C(C)C,12.21,10.62
C=C(C)/C=C/C,12.01,10.32
CC1=CCCC1,10.84,9.21
CC1C=CCC1,10.82,9.14
CC1CC=CC1,10.76,9.06
C=C=CCCC,11.69,10.04
C=C/C=C\CC,12.14,10.54
C=C/C=C/CC,12.14,10.65
C=CC/C=C\C,11.66,9.73
C=CC/C=C/C,11.65,9.74
CC=C=CCC,11.49,10.37
C/C=C/C=C/C,12.34,10.82
C/C=C\C=C\C,12.32,10.57
C/C=C\C=C/C,12.17,10.64
C=C=C(C)CC,11.65,10.13
C=C=CC(C)C,11.75,10.16
C=C/C(C)=C\C,11.96,9.88
C=C(C)/C=C\C,12.09,10.28
C=C/C(C)=C/C,11.96,9.88
C=CCC(=C)C,11.51,9.66
C=CC(C)C=C,11.49,9.64
CC=C=C(C)C,11.72,10.38
C=CC(=C)CC,12.1,9.73
C=C(C)C(=C)C,11.78,9.66
CC#CCCC,11.12,9.34
CCC#CCC,11.21,9.39
C#CC(C)CC,11.02,9.09
C#CCC(C)C,11.04,9.07
CC#CC(C)C,11.18,9.32
C=CC(=O)OC(C)C,12.55,10.16
COC1CC=CCO1,11.98,9.79
CC/C=C(\C)C=O,12.25,10.12
CC(C)CCC#N,11.78,9.87
ClC1CCCCC1,13.03,10.69
CCOC(=O)C(Cl)CC,14.16,11.47
CCCCCC#N,11.78,9.93
O=[N+]([O-])C1CCCCC1,13.26,10.7
C=CCNCC=C,13.0,10.59
CCCCC(C)=O,11.89,9.82
C=COCCCC,12.43,10.13
C1CCCCC1,11.0,9.3
CC(=O)CC(C)(C)O,12.52,10.09
CCCC(=O)OCC,12.49,10.2
CCCCCC(=O)O,12.54,10.17
CC(=O)OCC(C)C,12.52,10.17
CC(=O)OC(C)(C)C,12.5,10.09
CC1OC(C)OC(C)O1,13.03,10.38
CCCCCOC=O,12.6,10.26
CC[C@H](C)OC(C)=O,12.53,10.13
OC1CCCCC1,11.58,9.65
C=CCCCC,11.69,9.88
CC1CCCOC1,11.71,9.66
CN1CCCN(C)C1=O,13.8,11.12
CC(=O)C(C)(C)C,11.85,9.69
CCCCC(=O)OC,12.53,10.16
CC1CCC(C)O1,11.4,9.74
CC(=O)CC(C)C,11.91,9.75
SC1CCCCC1,14.09,11.71
CCOCCOC(C)=O,13.19,10.67
C/C=C/CCC,11.77,10.07
CCC1(C)CC1,11.24,9.38
CC[C@H]1C[C@H]1C,11.2,9.4
CC[C@@H]1C[C@H]1C,11.27,9.45
CC1CC1(C)C,11.29,9.45
CCCC1CC1,11.21,9.4
CC(C)C1CC1,11.23,9.39
C[C@@H]1CC[C@@H]1C,11.09,9.38
C[C@@H]1CC[C@H]1C,11.22,9.46
C[C@H]1C[C@@H](C)C1,11.22,9.49
C[C@H]1C[C@H](C)C1,11.27,9.44
CCC1CCC1,11.17,9.38
C/C=C\CCC,11.72,9.87
CC/C=C\CC,11.76,9.9
CC/C=C/CC,11.8,9.95
C=C(C)CCC,11.69,9.75
C/C=C\C(C)C,11.76,9.95
C/C=C/C(C)C,11.8,10.05
CCC=C(C)C,11.8,10.03
C/C=C(/C)CC,12.16,9.89
C/C=C(\C)CC,11.71,9.95
C=C(C)C(C)C,11.67,9.71
CC(C)=C(C)C,11.73,10.0
C=C(CC)CC,11.65,9.76
CCCCCC=O,11.93,9.95
CCC(C)C(C)=O,11.86,9.72
CCCOC(=O)CC,12.5,10.17
NC1CCCCC1,12.4,10.26
CC[C@H](C)[C@H](N)C(=O)O,14.11,10.92
CC(C)C[C@@H](N)C(=O)[O-],14.0,10.97
CCN(CC)C(C)=O,12.96,10.71
CCCCCCBr,14.91,12.23
CCCC(F)CC,11.79,9.79
CCCCCCF,11.81,9.82
CN1CCCCC1,12.62,10.36
CCCCN=C(C)O,13.4,10.79
CCOP(=O)(OCC)C(C)=O,16.42,13.03
C=CP(=O)(OCC)OCC,15.71,12.94
CCN1CCOCC1,13.21,10.62
C1CCCNCC1,12.37,10.13
CCCCCCI,16.98,13.9
C[C@H](O)CC(C)(C)O,13.05,10.69
CCC(C)CCO,12.43,10.26
[NH-][C+](N)NCCC[C@H](N)[C+]([O-])O,17.13,13.54
CCCCOCC,12.58,10.48
CCOCCOCCO,13.83,11.25
COCCOCCOC,13.91,11.24
CC(C)OC(C)C,12.57,10.37
CCCCOCCO,13.15,10.8
CCCCCC,11.84,10.03
NCCCC[C@H](N)C(=O)O,15.0,12.02
CCCOCCC,12.58,10.47
CCCCCCO,12.46,10.37
CCOC(C)(C)C,12.53,10.32
CCC(C)(C)OC,12.42,10.17
CC(C)SC(C)C,15.21,12.62
OCCOCCOCCO,14.4,11.61
SCCCCCCS,18.05,14.74
CCCCCCS,14.97,12.37
CCCCC(C)S,14.96,12.36
CCC(C)CC,11.81,9.91
CCC(C)(C)C,11.87,9.88
CC(C)C(C)C,11.84,9.85
CCOC(C)OCC,12.84,10.77
CCC(CC)CO,12.35,10.24
CCCCC(C)O,12.46,10.31
CCCC(O)CC,12.44,10.32
CCCCCOC,12.56,10.42
CCCCCSC,14.96,12.5
CCC(O)C(C)CO,12.94,10.57
CCCC(C)CO,12.43,10.28
CC(C)CC(C)O,12.46,10.23
CCC(C)(O)CC,12.35,10.18
CCCSSCCC,18.2,15.5
CCCSCCC,15.01,12.65
CCCOCC(C)O,13.24,10.77
CC(C)NC(C)C,13.41,10.88
CCCNCCC,13.24,11.07
OCCN(CCO)CCO,15.07,12.01
CCN(CC)CC,13.36,11.02
CCOP(=O)(OCC)OCC,16.55,13.31
CCOP(=O)(CC)OCC,16.12,13.06
CCN(CC)CCO,13.85,11.32
CCCCN(C)C,13.44,10.98
CCCCCCN,13.25,10.97
CN(C)CCN(C)C,15.05,11.93
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,13.71,9.49
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,14.49,10.01
Cc1c(F)c(F)c(F)c(F)c1F,12.24,9.78
N#Cc1ccccc1,12.57,10.5
FC(F)(F)c1ccccc1,12.19,9.74
O=C(Cl)c1ccccc1,14.72,11.82
O=C(Br)c1ccccc1,15.7,12.83
O=C=Nc1ccccc1,13.52,11.19
Cc1ccc(Cl)cc1Cl,16.26,13.28
O=Cc1ccccc1,12.73,10.34
ClC(Cl)c1ccccc1,15.15,13.02
O=Cc1ccccc1O,13.83,10.88
Cc1cc(Br)ccc1Br,18.72,15.14
Cc1ccccc1Cl,14.23,11.64
Cc1ccc(Cl)cc1,14.32,11.75
COc1ccccc1[N+](=O)[O-],15.77,12.45
Cc1cccc(Cl)c1,14.28,11.71
Cc1ccc(F)cc1,11.7,10.07
ClCc1ccccc1,14.34,11.61
Cc1ccc(I)cc1,17.1,14.37
Cc1ccc(Br)cc1,14.8,12.66
Cc1cccc([N+](=O)[O-])c1,14.89,12.09
Cc1ccccc1[N+](=O)[O-],14.82,12.03
N=C(O)c1ccccc1,12.75,11.12
SCc1ccc(Cl)cc1,17.64,14.28
Cc1ccccc1O,13.0,10.61
Cc1cccc(O)c1,13.05,10.66
Cc1ccc(O)cc1,13.2,10.68
COc1ccccc1,13.03,10.64
Cc1ccccc1,12.31,10.18
COc1ccccc1O,13.6,11.05
OCc1ccccc1,12.89,10.54
C1=CC=CCC=C1,12.46,10.33
CSc1ccccc1,15.64,12.9
SCc1ccccc1,14.04,12.63
COc1ccc(S)cc1,16.35,13.28
Cc1cccc(S)c1,15.51,12.82
C[Si](Cl)(Cl)c1ccccc1,19.59,16.37
Cc1ccccc1N,14.01,11.32
Cc1cccc(N)c1,14.06,11.39
CNc1ccccc1,14.14,11.38
Cc1ccnc(C)c1,13.44,11.22
Cc1cccc(C)n1,13.5,11.28
Cc1ccncc1C,13.34,11.08
CCc1cccnc1,13.32,11.13
CN(N)c1ccccc1,14.81,12.38
O=C(C1CC1)C1CC1,12.52,10.5
CCCc1cccs1,15.41,12.7
Cc1cc(C)c(C)s1,15.44,12.89
C#CCCCCC,12.86,10.77
CC(=O)C1(C)COCOC1,14.26,11.26
CCOC(=O)CC(=O)OCC,15.09,12.04
CCC1=CCCC1,12.62,10.83
CCC1C=CCC1,12.63,10.74
CCC1CC=CC1,12.63,10.63
CC1=C(C)CCC1,12.72,10.91
CC1=CC(C)CC1,12.81,10.9
CC1=CCC(C)C1,12.73,10.8
CC1=CCCC1C,12.72,10.8
CC1(C)C=CCC1,12.59,10.7
C[C@@H]1CC=C[C@@H]1C,12.68,10.62
CC1(C)CC=CC1,12.59,10.59
CC#CCCCC,12.96,10.98
CCC#CCCC,13.05,11.06
C#CC(C)CCC,12.87,10.65
C#CCC(C)CC,12.83,10.66
C#CCCC(C)C,12.88,10.61
CC#CCC(C)C,13.02,10.92
C#CC(CC)CC,12.82,10.69
C#CC(C)C(C)C,12.83,10.61
C#CCC(C)(C)C,12.9,10.63
CC#CC(C)(C)C,13.09,10.96
C1=CCCCCC1,12.63,10.63
CCC#CC(C)C,13.09,11.05
C=CC(=O)OCC(C)C,14.38,11.78
CC(C)C(=O)C(C)C,13.63,11.24
CCCCCC(C)=O,13.71,11.45
CCCCC(=O)CC,13.67,11.41
C[C@H]1CCC[C@@H](O)C1,13.49,11.15
C[C@@H]1CCC[C@H](O)C1,13.42,11.22
CCCCCOC(C)=O,14.38,11.87
C=CCCCCC,13.5,11.52
C1CCCCCC1,12.77,10.79
CCCCCC(=O)OC,14.34,11.79
CCCC(=O)CCC,13.65,11.42
CC(C)N(C#N)C(C)C,15.31,12.37
CC1CCCCC1,12.88,10.91
CCCCCCC(=O)O,14.31,11.76
CC(C)CCC(C)([O])[O-],14.35,11.79
CCC1CCCC1,12.84,10.81
C[C@@H]1CCC[C@@H]1C,12.81,10.81
C[C@@H]1CCC[C@H]1C,12.9,10.89
C[C@@H]1CC[C@H](C)C1,12.92,10.95
C[C@@H]1CC[C@@H](C)C1,12.9,10.86
C/C=C\CCCC,13.54,11.57
C/C=C/CCCC,13.6,11.68
CC/C=C\CCC,13.61,11.6
CC/C=C/CCC,13.65,11.75
C=C(C)CCCC,13.53,11.35
C=CC(C)CCC,13.54,11.46
C=CCC(C)CC,13.51,11.43
C=CCCC(C)C,13.54,11.47
CCCC=C(C)C,13.64,11.63
C/C=C(/C)CCC,13.56,11.44
C/C=C(\C)CCC,13.56,11.49
C/C=C\C(C)CC,13.57,11.55
C/C=C/C(C)CC,13.62,11.66
C/C=C\CC(C)C,13.57,11.52
C/C=C/CC(C)C,13.64,11.62
CC/C=C\C(C)C,13.64,11.64
CC/C=C/C(C)C,13.69,11.64
CC/C=C(/C)CC,13.62,11.57
CC/C=C(\C)CC,13.62,11.67
C=CC(CC)CC,13.51,11.42
C=C(C)C(C)CC,13.48,11.32
C=C(C)CC(C)C,13.55,11.34
C=CC(C)(C)CC,13.49,11.31
